,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
DOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.742664739,,,,,,,,,,1.742664739,,,,,,,,,,1.742664739,,,,,,,,,
ECU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50710449,,,,,,,,,,1.50710449,,,,,,,,,,1.50710449,,,,,,,,,
EGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.622988267,,,,,,,,,,1.622988267,,,,,,,,,,1.622988267,,,,,,,,,
SLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.788962098,,,,,,,,,,0.788962098,,,,,,,,,,0.788962098,,,,,,,,,
GNQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.251076091,,,,,,,,,,0.251076091,,,,,,,,,,0.251076091,,,,,,,,,
ERI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.205559922,,,,,,,,,,1.205559922,,,,,,,,,,1.205559922,,,,,,,,,
EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.808930466,,,,,,,,,,1.808930466,,,,,,,,,,1.808930466,,,,,,,,,
SWZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,
ETH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,
FLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.702458211,,,,,,,,,,7.702458211,,,,,,,,,,7.702458211,,,,,,,,,
FJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.09994895,,,,,,,,,,3.09994895,,,,,,,,,,3.09994895,,,,,,,,,
FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.528235978,,,,,,,,,,0.528235978,,,,,,,,,,0.528235978,,,,,,,,,
FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.647373804,,,,,,,,,,1.647373804,,,,,,,,,,1.647373804,,,,,,,,,
GUF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PYF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.917984963,,,,,,,,,,19.917984963,,,,,,,,,,19.917984963,,,,,,,,,
ATF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.322701521,,,,,,,,,,0.322701521,,,,,,,,,,0.322701521,,,,,,,,,
GMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.778001279,,,,,,,,,,16.778001279,,,,,,,,,,16.778001279,,,,,,,,,
GEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.284809797,,,,,,,,,,1.284809797,,,,,,,,,,1.284809797,,,,,,,,,
DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.458668341,,,,,,,,,,4.458668341,,,,,,,,,,4.458668341,,,,,,,,,
GHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.562210066,,,,,,,,,,0.562210066,,,,,,,,,,0.562210066,,,,,,,,,
GIB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.08248377,,,,,,,,,,29.08248377,,,,,,,,,,29.08248377,,,,,,,,,
GRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.060864498,,,,,,,,,,3.060864498,,,,,,,,,,3.060864498,,,,,,,,,
GRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.139427147,,,,,,,,,,10.139427147,,,,,,,,,,10.139427147,,,,,,,,,
GRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.832331562,,,,,,,,,,1.832331562,,,,,,,,,,1.832331562,,,,,,,,,
GLP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58750854,,,,,,,,,,1.58750854,,,,,,,,,,1.58750854,,,,,,,,,
GTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.392207128,,,,,,,,,,0.392207128,,,,,,,,,,0.392207128,,,,,,,,,
GGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.939142015,,,,,,,,,,0.939142015,,,,,,,,,,0.939142015,,,,,,,,,
GNB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.524519474,,,,,,,,,,6.524519474,,,,,,,,,,6.524519474,,,,,,,,,
GUY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.375600858,,,,,,,,,,2.375600858,,,,,,,,,,2.375600858,,,,,,,,,
HTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.595681828,,,,,,,,,,1.595681828,,,,,,,,,,1.595681828,,,,,,,,,
HMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.026348052,,,,,,,,,,2.026348052,,,,,,,,,,2.026348052,,,,,,,,,
HKG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.051074678,,,,,,,,,,10.051074678,,,,,,,,,,10.051074678,,,,,,,,,
HUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.246048775,,,,,,,,,,2.246048775,,,,,,,,,,2.246048775,,,,,,,,,
IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.494053499,,,,,,,,,,1.494053499,,,,,,,,,,1.494053499,,,,,,,,,
IDN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.778554674,,,,,,,,,,2.778554674,,,,,,,,,,2.778554674,,,,,,,,,
IRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.844881597,,,,,,,,,,0.844881597,,,,,,,,,,0.844881597,,,,,,,,,
IRQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.193463534,,,,,,,,,,3.193463534,,,,,,,,,,3.193463534,,,,,,,,,
IRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.069538435,,,,,,,,,,2.069538435,,,,,,,,,,2.069538435,,,,,,,,,
IMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.948839739,,,,,,,,,,1.948839739,,,,,,,,,,1.948839739,,,,,,,,,
ISR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.410489234,,,,,,,,,,0.410489234,,,,,,,,,,0.410489234,,,,,,,,,
ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.876596966,,,,,,,,,,3.876596966,,,,,,,,,,3.876596966,,,,,,,,,
JAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.598627098,,,,,,,,,,3.598627098,,,,,,,,,,3.598627098,,,,,,,,,
JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.435795752,,,,,,,,,,3.435795752,,,,,,,,,,3.435795752,,,,,,,,,
JEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000608159,,,,,,,,,,0.000608159,,,,,,,,,,0.000608159,,,,,,,,,
KAZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.240780521,,,,,,,,,,0.240780521,,,,,,,,,,0.240780521,,,,,,,,,
KIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.63695385,,,,,,,,,,54.63695385,,,,,,,,,,54.63695385,,,,,,,,,
PRK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.80829975,,,,,,,,,,1.80829975,,,,,,,,,,1.80829975,,,,,,,,,
KOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.947424446,,,,,,,,,,2.947424446,,,,,,,,,,2.947424446,,,,,,,,,
KWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.181655022,,,,,,,,,,8.181655022,,,,,,,,,,8.181655022,,,,,,,,,
KGZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,
LVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.905865558,,,,,,,,,,1.905865558,,,,,,,,,,1.905865558,,,,,,,,,
LBN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.433024162,,,,,,,,,,0.433024162,,,,,,,,,,0.433024162,,,,,,,,,
LSO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.301642932,,,,,,,,,,0.301642932,,,,,,,,,,0.301642932,,,,,,,,,
LBY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.529163592,,,,,,,,,,0.529163592,,,,,,,,,,0.529163592,,,,,,,,,
