,year,country,Net migration,tas,pr,Arable land (%25 of land area),Population growth (annual %25),"Population, total"
105,2005-01-01,AZE,53579.0,11.8465862,33.3184672,22.44256621627464,1.486141985882362,8633668.6
106,2010-01-01,AZE,8499.0,11.993602333333333,36.308712,22.85177374624777,1.2738507966913766,9174399.333333334
107,1960-01-01,BHS,13873.0,24.9727452,101.521862,0.699300699300699,4.945849068753635,121358.8
108,1965-01-01,BHS,13929.0,24.6110788,107.2163708,0.699300699300699,4.116668873499088,152395.4
109,1970-01-01,BHS,949.0,24.67049,98.751372,0.699300699300699,2.390100460879816,177553.8
110,1975-01-01,BHS,2981.0,24.7064214,98.5299028,0.699300699300699,2.1358846484967744,197273.6
111,1980-01-01,BHS,646.0,24.885,111.8615188,0.699300699300699,2.198919487841726,220221.6
112,1985-01-01,BHS,-811.0,24.991716399999998,104.8488242,0.799200799200799,1.8124906349494097,243210.0
113,1990-01-01,BHS,-322.0,25.4928928,100.0103426,0.7592407592407591,1.829474739382788,266035.0
114,1995-01-01,BHS,-3001.0,25.5440194,111.02970679999999,0.599400599400599,1.278957809610834,287235.8
115,2000-01-01,BHS,11877.0,25.4762742,109.74661499999999,0.699300699300699,1.621362594082468,308070.4
116,2005-01-01,BHS,14536.0,25.5635296,106.82681400000001,0.739260739260739,1.8388465239991103,337313.2
117,2010-01-01,BHS,4999.0,25.289815,113.21888666666666,0.8325008325008323,1.30697571903797,359367.6666666667
118,1960-01-01,BHR,-4195.0,27.411250799999998,3.73874996,1.44927536231884,3.0808812459136257,172898.4
119,1965-01-01,BHR,-8033.0,27.4437504,3.63416674,1.44927536231884,2.384328181830498,196394.0
120,1970-01-01,BHR,19123.0,26.6625,3.3358333399999998,1.44927536231884,4.019819313129378,230702.0
121,1975-01-01,BHR,48962.0,26.9833328,4.8345835600000004,2.6086956521739117,6.16136838078201,303948.4
122,1980-01-01,BHR,3234.0,26.9108326,6.20749992,2.89855072463768,3.444431773543156,384727.4
123,1985-01-01,BHR,12899.0,27.3095826,4.431666659999999,2.89855072463768,3.333645373747678,449632.8
124,1990-01-01,BHR,5480.0,26.9258338,5.24083346,2.849561134925492,2.662233638241738,522914.0
125,1995-01-01,BHR,39180.0,27.7124998,7.720833400000001,2.8169014084507,2.937780436960864,597507.0
126,2000-01-01,BHR,155500.0,27.886249799999995,6.2608331999999995,2.57332198464771,5.30377801254155,741170.8
127,2005-01-01,BHR,272000.0,28.0883332,4.64208322,1.84431486399946,7.1264891043101155,1036643.6
128,2010-01-01,BHR,42000.0,28.972221666666666,3.0583334,2.08790313827899,3.08378366002484,1272984.6666666667
129,1960-01-01,BGD,-142378.0,25.063642200000004,197.239258,66.15771683183527,2.808661995856606,50814445.4
130,1965-01-01,BGD,-161822.0,24.933086,199.46167,67.69148037182146,3.07698268157611,59035046.8
131,1970-01-01,BGD,-3045287.0,24.833188999999997,208.31214,69.24637013136672,1.846501746812546,66553916.6
132,1975-01-01,BGD,-1137344.0,25.0334978,203.195288,70.14826764999616,2.4057776944684317,73632268.6
133,1980-01-01,BGD,-793826.0,25.017757000000003,208.151138,70.07451793808096,2.6281240195945323,83979629.8
134,1985-01-01,BGD,-219363.0,25.3878596,218.192608,71.65706383959439,2.600844808425628,95700959.2
