,,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AFG,pr,19.954466,18.801144,23.728622,23.42922,21.574781,22.08464,23.882217,24.557707,21.518084,24.796732,23.034586,21.507435,22.202288,26.632135,21.807055,22.228106,16.718273,21.789024,22.72955,23.215277,22.763317,23.09676,24.962254,26.91792,18.1311,24.082762,20.160892,22.904003,21.206753,23.985212,25.016123,24.053703,24.809505,24.097223,24.015768,22.991858,24.39243,24.728077,26.70885,21.962091,25.009449,25.684286,24.226145,24.394062,25.724049,19.831127,21.030092,20.455038,22.094418,22.135294,25.86468,22.341885,25.14793,24.695995,21.095316,26.912827,36.541256,24.217783,31.640686,29.366913,26.614109,21.46977,22.726063,28.003595,26.470072,23.573692,25.88889,26.285349,23.622875,18.376062,16.146324,30.655691,22.981155,24.274046,22.743055,27.44251,20.65422,23.792702,25.420752,26.491232,27.206371,28.342373,22.573175,22.24902,18.740742,25.221651,20.28709,25.534151,23.663263,24.912771,30.05629,29.194447,23.990414,25.02274,21.540142,23.144989,22.808443,27.055227,21.565332,14.919798,15.161547,21.539978,27.54281,18.389652,26.901306,23.833824,24.966476,19.671432,29.109913,26.058004,28.744762,31.86852
AFG,tas,13.096678,13.309858,12.064352,12.619226,12.437119,12.978949,12.276689,12.527205,12.797849,12.057898,12.295179,12.9023695,12.642592,13.308415,13.922549,12.5204525,13.175219,11.86811,12.038753,11.508769,12.502941,12.974073,11.935648,12.171977,12.666531,12.733714,12.74055,12.42903,12.05896,12.016857,12.070452,12.387337,12.473448,11.963971,11.976525,12.653677,12.071296,12.760702,12.860594,13.448639,14.052069,13.079549,12.422548,13.028513,12.348366,13.111139,13.688725,12.964951,11.965741,11.52146,12.672467,12.815332,13.340495,12.314188,13.218355,12.726471,11.457108,13.281781,12.710267,12.427369,12.881208,12.499809,13.515714,11.882081,12.775789,13.063208,12.516421,12.444172,12.364134,13.470589,13.594363,11.218818,12.871515,12.071978,12.195915,12.503267,13.542892,13.097303,12.992266,13.331482,13.356209,12.302015,13.343791,12.90531,13.397577,12.7904415,13.479494,14.105202,12.698202,13.576281,13.151906,12.627124,12.980337,13.100027,13.025299,12.583796,12.90226,13.209804,14.076879,13.710948,14.407163,14.278839,13.816203,14.669527,14.107597,14.277315,14.124646,14.249019,14.222303,14.189791,13.727007,13.095462
AGO,Arable land (% of land area),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.14165396647148,2.16571749418465,2.18175984599342,2.20582337370659,2.22186572551536,2.24592925322852,2.26999278094169,2.29405630865485,2.3261410122724,2.3261410122724,2.3261410122724,2.3261410122724,2.3261410122724,2.3261410122724,2.3261410122724,2.3261410122724,2.3261410122724,2.3261410122724,2.3261410122724,2.3261410122724,2.3261410122724,2.3261410122724,2.3261410122724,2.3261410122724,2.3261410122724,2.3261410122724,2.3261410122724,2.3261410122724,2.3261410122724,2.3261410122724,2.36624689179434,2.40635277131627,2.40635277131627,2.40635277131627,2.40635277131627,2.40635277131627,2.40635277131627,2.40635277131627,2.40635277131627,2.40635277131627,2.40635277131627,2.48656453036015,2.6469880484479,2.6469880484479,2.6469880484479,2.6469880484479,2.72719980749178,2.72719980749178,3.20847036175503,3.28868212079891,3.76995267506216,3.76995267506216
AGO,Forest area (% of land area),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.9099221945937,48.8098172926526,48.7097123907115,48.6096106220422,48.5095057201011,48.4094008181599,48.3092959162188,48.2091910142777,48.1090892456084,48.0089843436673,47.9088794417262,47.808774539785,47.7086696378439,47.6085678691746,47.5084629672335,47.4083580652924,47.3082531633512,47.2081482614101,47.1080464927408,47.0079415907997,46.9078366888586,46.8077317869175,46.7076268849763
AGO,Net migration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-296717,,,,,-587286,,,,,199800,,,,,199800,,,,,234148,,,,,188491,,,,,142812,,,,,199800,,,,,261100,,,,,357301,,,,,166267
AGO,Population growth (annual %),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.36992577771498,1.3933627662113,1.38362932479965,1.2565547834921,0.973961709539141,0.617543972911335,0.184283276284964,-0.120652966743739,-0.0448817530991494,0.546044668037142,1.48991704690715,2.52146808739103,3.38171108492455,3.89849261216194,3.98923282045895,3.81058451002536,3.5730558546314,3.43275198936866,3.35406783728968,3.37420883071678,3.45440593300879,3.52364410710805,3.55288850621696,3.56732664173581,3.56424403564629,3.5478759816658,3.53169623028291,3.51440477390392,3.48240158939181,3.43442687920317,3.37848075385716,3.32445629073671,3.28031195167043,3.24664193567482,3.2261444934615,3.21685908016485,3.21423426008512,3.21732007158228,3.22894142127846,3.24924737691682,3.27720355508788,3.3011981819287,3.32925667399073,3.37881111015826,3.45301382916021,3.53755715435985,3.6195745593604,3.68063536954353,3.71053132219744,3.70387768309131,3.67146240136924,3.63415862558996,3.59777430762499
AGO,"Population, total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5454933,5531472,5608539,5679458,5735044,5770570,5781214,5774243,5771652,5803254,5890365,6040777,6248552,6496962,6761380,7024000,7279509,7533735,7790707,8058067,8341289,8640446,8952950,9278096,9614754,9961997,10320111,10689250,11068050,11454777,11848386,12248901,12657366,13075049,13503747,13945206,14400719,14871570,15359601,15866869,16395473,16945753,17519417,18121479,18758145,19433602,20149901,20905363,21695634,22514281,23356246,24220661,25107931
AGO,Total greenhouse gas emissions (kt of CO2 equivalent),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60648.60108,39162.17143,42205.6507,44252.66912,40179.2335,44429.30003,38448.02409,43563.41218,46235.11458,56644.65197,48001.86616,41894.79496,45243.80208,44852.06032,35878.30078,36714.19083,35982.41365,46721.25774,35736.7658,39342.98618,50806.5426914,43761.081269,64997.83986,39775.10719,44657.243349,48230.298638,47136.215785,33091.22462,35275.1251,36119.4252,34780.6811,34371.8411,34490.369,35858.015,36860.2334,35855.7384,36375.822,36690.534,37396.294,38309.4651264052,40029.3921005695,40878.6519582578,41657.1648460299
AGO,pr,78.029625,78.282394,80.56601,73.865105,73.36043,81.684944,75.55528,79.05168,89.592445,80.32159,76.87444,86.10497,74.686,67.893745,72.611984,88.326195,77.85364,79.85248,76.11062,77.94877,78.392624,75.82947,90.73011,80.369316,82.11708,81.61461,84.121635,73.74479,80.49763,71.259094,77.19704,71.98008,79.19203,89.059715,79.76726,73.98694,88.6219,84.26419,78.487854,74.540436,71.09505,70.59248,79.64064,89.05776,93.15273,76.327255,79.80099,79.16478,75.20253,92.64504,92.38258,81.32635,76.9719,85.77233,81.12966,80.40585,91.50725,70.603325,80.33822,87.94044,96.05539,84.92543,85.99748,74.57479,71.23384,86.3351,94.43657,87.747086,96.3705,77.69527,78.143265,71.965225,79.34657,83.47496,82.966576,83.83704,86.94585,79.053154,88.1082,70.7795,65.806915,74.9788,70.74023,73.95399,74.40843,85.20312,73.42308,86.831184,75.569595,76.75372,86.63637,71.14638,78.23042,75.43212,69.149086,77.26442,84.20849,82.94345,84.126175,83.74648,81.2052,83.89324,81.87717,82.80693,79.52709,84.2995,82.70208,82.951546,84.40591,84.175186,84.19026,83.90651
AGO,tas,21.619059,21.620358,21.761902,21.58768,21.658384,21.613375,21.520582,21.585794,21.53252,21.496952,21.641684,21.679262,21.634441,21.658785,21.624342,21.598059,21.61639,21.407848,21.538532,21.59936,21.628864,21.769075,21.619438,21.56781,21.447851,21.566181,21.535862,21.682207,21.64002,21.56554,21.821136,21.672644,21.745495,21.768625,21.638184,21.486174,21.432537,21.681652,21.8149,22.069733,22.27015,22.173094,21.872784,22.00577,21.851698,21.660206,21.663929,21.510517,22.249168,21.786556,21.658922,21.845427,21.398615,21.481255,21.49281,21.399654,21.768435,21.67429,21.759113,21.664051,21.423544,21.33756,21.408646,21.3263,21.420738,21.643902,21.408247,21.418781,21.68633,21.664814,21.619076,21.577217,21.839762,21.448753,21.644716,21.394058,21.869717,21.791233,21.815645,21.766216,21.738047,21.741909,21.937855,21.893764,21.892447,21.687351,22.215004,22.019785,21.69125,21.979053,21.874393,22.063202,21.959044,21.888203,22.17209,22.032692,22.382381,22.44191,21.820635,21.878847,22.038565,22.204054,22.306652,21.971205,22.600658,21.747938,21.713825,21.680838,22.04929,22.318493,21.894283,21.859505
